1892,BLOCK2:ZONE8,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !TimeStep
1893,BLOCK2:ZONE8,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !TimeStep
1894,BLOCK2:ELEVATOR,Zone Windows Total Transmitted Solar Radiation Rate [W] !TimeStep
1895,BLOCK2:ELEVATOR,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !TimeStep
1896,BLOCK2:ELEVATOR,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !TimeStep
1897,BLOCK2:EQUIPTMENTRM.,Zone Windows Total Transmitted Solar Radiation Rate [W] !TimeStep
1898,BLOCK2:EQUIPTMENTRM.,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !TimeStep
1899,BLOCK2:EQUIPTMENTRM.,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !TimeStep
1900,BLOCK1:MAINAREA,Zone Windows Total Transmitted Solar Radiation Rate [W] !TimeStep
1901,BLOCK1:MAINAREA,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !TimeStep
1902,BLOCK1:MAINAREA,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !TimeStep
1903,1STFLOOR:STAIRS,Zone Mean Radiant Temperature [C] !TimeStep
1904,1STFLOOR:TRASHROOM,Zone Mean Radiant Temperature [C] !TimeStep
1905,1STFLOOR:STAFFRESTROOM,Zone Mean Radiant Temperature [C] !TimeStep
1906,1STFLOOR:OPENOFFICE,Zone Mean Radiant Temperature [C] !TimeStep
1907,1STFLOOR:OFFICE111,Zone Mean Radiant Temperature [C] !TimeStep
1908,1STFLOOR:TANK,Zone Mean Radiant Temperature [C] !TimeStep
1909,1STFLOOR:PUMPROOM,Zone Mean Radiant Temperature [C] !TimeStep
1910,1STFLOOR:LOBBY,Zone Mean Radiant Temperature [C] !TimeStep
1911,1STFLOOR:PREPROOM,Zone Mean Radiant Temperature [C] !TimeStep
1912,1STFLOOR:KITCHEN,Zone Mean Radiant Temperature [C] !TimeStep
1913,1STFLOOR:VESTIBULE,Zone Mean Radiant Temperature [C] !TimeStep
1914,1STFLOOR:ELEC.,Zone Mean Radiant Temperature [C] !TimeStep
1915,1STFLOOR:JANITOR,Zone Mean Radiant Temperature [C] !TimeStep
1916,1STFLOOR:MEN%SRESTROOM,Zone Mean Radiant Temperature [C] !TimeStep
1917,1STFLOOR:LOBBY1,Zone Mean Radiant Temperature [C] !TimeStep
1918,1STFLOOR:STORAGE,Zone Mean Radiant Temperature [C] !TimeStep
1919,1STFLOOR:ELEV.CLOSET,Zone Mean Radiant Temperature [C] !TimeStep
1920,1STFLOOR:ELEVATOR,Zone Mean Radiant Temperature [C] !TimeStep
1921,1STFLOOR:OFFICE,Zone Mean Radiant Temperature [C] !TimeStep
1922,1STFLOOR:WOMEN%SRESTROOM,Zone Mean Radiant Temperature [C] !TimeStep
1923,1STFLOOR:CLASSROOM,Zone Mean Radiant Temperature [C] !TimeStep
1924,BLOCK2:STORGE,Zone Mean Radiant Temperature [C] !TimeStep
1925,BLOCK2:MAINAREA,Zone Mean Radiant Temperature [C] !TimeStep
1926,BLOCK2:AQUARIUM,Zone Mean Radiant Temperature [C] !TimeStep
1927,BLOCK2:ELEVATOR1,Zone Mean Radiant Temperature [C] !TimeStep
1928,BLOCK2:VESTIBULE,Zone Mean Radiant Temperature [C] !TimeStep
1929,BLOCK2:MECH.,Zone Mean Radiant Temperature [C] !TimeStep
1930,BLOCK2:THEATER,Zone Mean Radiant Temperature [C] !TimeStep
1931,BLOCK2:CLOSET,Zone Mean Radiant Temperature [C] !TimeStep
1932,BLOCK2:ZONE8,Zone Mean Radiant Temperature [C] !TimeStep
1933,BLOCK2:ELEVATOR,Zone Mean Radiant Temperature [C] !TimeStep
1934,BLOCK2:EQUIPTMENTRM.,Zone Mean Radiant Temperature [C] !TimeStep
1935,BLOCK1:MAINAREA,Zone Mean Radiant Temperature [C] !TimeStep
1936,1STFLOOR:STAIRS,Zone Mean Air Temperature [C] !TimeStep
1937,1STFLOOR:STAIRS,Zone Operative Temperature [C] !TimeStep
1938,1STFLOOR:TRASHROOM,Zone Mean Air Temperature [C] !TimeStep
1939,1STFLOOR:TRASHROOM,Zone Operative Temperature [C] !TimeStep
1940,1STFLOOR:STAFFRESTROOM,Zone Mean Air Temperature [C] !TimeStep
1941,1STFLOOR:STAFFRESTROOM,Zone Operative Temperature [C] !TimeStep
1942,1STFLOOR:OPENOFFICE,Zone Mean Air Temperature [C] !TimeStep
1943,1STFLOOR:OPENOFFICE,Zone Operative Temperature [C] !TimeStep
1944,1STFLOOR:OFFICE111,Zone Mean Air Temperature [C] !TimeStep
1945,1STFLOOR:OFFICE111,Zone Operative Temperature [C] !TimeStep
1946,1STFLOOR:TANK,Zone Mean Air Temperature [C] !TimeStep
1947,1STFLOOR:TANK,Zone Operative Temperature [C] !TimeStep
1948,1STFLOOR:PUMPROOM,Zone Mean Air Temperature [C] !TimeStep
1949,1STFLOOR:PUMPROOM,Zone Operative Temperature [C] !TimeStep
1950,1STFLOOR:LOBBY,Zone Mean Air Temperature [C] !TimeStep
1951,1STFLOOR:LOBBY,Zone Operative Temperature [C] !TimeStep
1952,1STFLOOR:PREPROOM,Zone Mean Air Temperature [C] !TimeStep
1953,1STFLOOR:PREPROOM,Zone Operative Temperature [C] !TimeStep
1954,1STFLOOR:KITCHEN,Zone Mean Air Temperature [C] !TimeStep
1955,1STFLOOR:KITCHEN,Zone Operative Temperature [C] !TimeStep
1956,1STFLOOR:VESTIBULE,Zone Mean Air Temperature [C] !TimeStep
1957,1STFLOOR:VESTIBULE,Zone Operative Temperature [C] !TimeStep
1958,1STFLOOR:ELEC.,Zone Mean Air Temperature [C] !TimeStep
1959,1STFLOOR:ELEC.,Zone Operative Temperature [C] !TimeStep
1960,1STFLOOR:JANITOR,Zone Mean Air Temperature [C] !TimeStep
1961,1STFLOOR:JANITOR,Zone Operative Temperature [C] !TimeStep
1962,1STFLOOR:MEN%SRESTROOM,Zone Mean Air Temperature [C] !TimeStep
1963,1STFLOOR:MEN%SRESTROOM,Zone Operative Temperature [C] !TimeStep
1964,1STFLOOR:LOBBY1,Zone Mean Air Temperature [C] !TimeStep
1965,1STFLOOR:LOBBY1,Zone Operative Temperature [C] !TimeStep
1966,1STFLOOR:STORAGE,Zone Mean Air Temperature [C] !TimeStep
1967,1STFLOOR:STORAGE,Zone Operative Temperature [C] !TimeStep
1968,1STFLOOR:ELEV.CLOSET,Zone Mean Air Temperature [C] !TimeStep
1969,1STFLOOR:ELEV.CLOSET,Zone Operative Temperature [C] !TimeStep
1970,1STFLOOR:ELEVATOR,Zone Mean Air Temperature [C] !TimeStep
1971,1STFLOOR:ELEVATOR,Zone Operative Temperature [C] !TimeStep
1972,1STFLOOR:OFFICE,Zone Mean Air Temperature [C] !TimeStep
1973,1STFLOOR:OFFICE,Zone Operative Temperature [C] !TimeStep
1974,1STFLOOR:WOMEN%SRESTROOM,Zone Mean Air Temperature [C] !TimeStep
1975,1STFLOOR:WOMEN%SRESTROOM,Zone Operative Temperature [C] !TimeStep
1976,1STFLOOR:CLASSROOM,Zone Mean Air Temperature [C] !TimeStep
1977,1STFLOOR:CLASSROOM,Zone Operative Temperature [C] !TimeStep
1978,BLOCK2:STORGE,Zone Mean Air Temperature [C] !TimeStep
1979,BLOCK2:STORGE,Zone Operative Temperature [C] !TimeStep
1980,BLOCK2:MAINAREA,Zone Mean Air Temperature [C] !TimeStep
1981,BLOCK2:MAINAREA,Zone Operative Temperature [C] !TimeStep
1982,BLOCK2:AQUARIUM,Zone Mean Air Temperature [C] !TimeStep
1983,BLOCK2:AQUARIUM,Zone Operative Temperature [C] !TimeStep
1984,BLOCK2:ELEVATOR1,Zone Mean Air Temperature [C] !TimeStep
1985,BLOCK2:ELEVATOR1,Zone Operative Temperature [C] !TimeStep
1986,BLOCK2:VESTIBULE,Zone Mean Air Temperature [C] !TimeStep
1987,BLOCK2:VESTIBULE,Zone Operative Temperature [C] !TimeStep
1988,BLOCK2:MECH.,Zone Mean Air Temperature [C] !TimeStep
1989,BLOCK2:MECH.,Zone Operative Temperature [C] !TimeStep
1990,BLOCK2:THEATER,Zone Mean Air Temperature [C] !TimeStep
1991,BLOCK2:THEATER,Zone Operative Temperature [C] !TimeStep
1992,BLOCK2:CLOSET,Zone Mean Air Temperature [C] !TimeStep
1993,BLOCK2:CLOSET,Zone Operative Temperature [C] !TimeStep
1994,BLOCK2:ZONE8,Zone Mean Air Temperature [C] !TimeStep
1995,BLOCK2:ZONE8,Zone Operative Temperature [C] !TimeStep
1996,BLOCK2:ELEVATOR,Zone Mean Air Temperature [C] !TimeStep
1997,BLOCK2:ELEVATOR,Zone Operative Temperature [C] !TimeStep
1998,BLOCK2:EQUIPTMENTRM.,Zone Mean Air Temperature [C] !TimeStep
1999,BLOCK2:EQUIPTMENTRM.,Zone Operative Temperature [C] !TimeStep
2000,BLOCK1:MAINAREA,Zone Mean Air Temperature [C] !TimeStep
2001,BLOCK1:MAINAREA,Zone Operative Temperature [C] !TimeStep
2002,1STFLOOR:STAIRS,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2003,1STFLOOR:STAIRS,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2004,1STFLOOR:STAIRS,Zone Infiltration Air Change Rate [ach] !TimeStep
2005,1STFLOOR:TRASHROOM,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2006,1STFLOOR:TRASHROOM,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2007,1STFLOOR:TRASHROOM,Zone Infiltration Air Change Rate [ach] !TimeStep
2008,1STFLOOR:STAFFRESTROOM,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2009,1STFLOOR:STAFFRESTROOM,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2010,1STFLOOR:STAFFRESTROOM,Zone Infiltration Air Change Rate [ach] !TimeStep
2011,1STFLOOR:OPENOFFICE,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2012,1STFLOOR:OPENOFFICE,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2013,1STFLOOR:OPENOFFICE,Zone Infiltration Air Change Rate [ach] !TimeStep
2014,1STFLOOR:OFFICE111,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2015,1STFLOOR:OFFICE111,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2016,1STFLOOR:OFFICE111,Zone Infiltration Air Change Rate [ach] !TimeStep
2017,1STFLOOR:TANK,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2018,1STFLOOR:TANK,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2019,1STFLOOR:TANK,Zone Infiltration Air Change Rate [ach] !TimeStep
2020,1STFLOOR:PUMPROOM,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2021,1STFLOOR:PUMPROOM,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2022,1STFLOOR:PUMPROOM,Zone Infiltration Air Change Rate [ach] !TimeStep
2023,1STFLOOR:LOBBY,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2024,1STFLOOR:LOBBY,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2025,1STFLOOR:LOBBY,Zone Infiltration Air Change Rate [ach] !TimeStep
2026,1STFLOOR:PREPROOM,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2027,1STFLOOR:PREPROOM,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2028,1STFLOOR:PREPROOM,Zone Infiltration Air Change Rate [ach] !TimeStep
2029,1STFLOOR:KITCHEN,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2030,1STFLOOR:KITCHEN,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2031,1STFLOOR:KITCHEN,Zone Infiltration Air Change Rate [ach] !TimeStep
2032,1STFLOOR:VESTIBULE,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2033,1STFLOOR:VESTIBULE,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2034,1STFLOOR:VESTIBULE,Zone Infiltration Air Change Rate [ach] !TimeStep
2035,1STFLOOR:ELEC.,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2036,1STFLOOR:ELEC.,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2037,1STFLOOR:ELEC.,Zone Infiltration Air Change Rate [ach] !TimeStep
2038,1STFLOOR:JANITOR,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2039,1STFLOOR:JANITOR,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2040,1STFLOOR:JANITOR,Zone Infiltration Air Change Rate [ach] !TimeStep
2041,1STFLOOR:MEN%SRESTROOM,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2042,1STFLOOR:MEN%SRESTROOM,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2043,1STFLOOR:MEN%SRESTROOM,Zone Infiltration Air Change Rate [ach] !TimeStep
2044,1STFLOOR:LOBBY1,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2045,1STFLOOR:LOBBY1,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2046,1STFLOOR:LOBBY1,Zone Infiltration Air Change Rate [ach] !TimeStep
2047,1STFLOOR:STORAGE,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2048,1STFLOOR:STORAGE,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2049,1STFLOOR:STORAGE,Zone Infiltration Air Change Rate [ach] !TimeStep
2050,1STFLOOR:ELEV.CLOSET,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2051,1STFLOOR:ELEV.CLOSET,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2052,1STFLOOR:ELEV.CLOSET,Zone Infiltration Air Change Rate [ach] !TimeStep
2053,1STFLOOR:ELEVATOR,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2054,1STFLOOR:ELEVATOR,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
2055,1STFLOOR:ELEVATOR,Zone Infiltration Air Change Rate [ach] !TimeStep
2056,1STFLOOR:OFFICE,Zone Infiltration Sensible Heat Loss Energy [J] !TimeStep
2057,1STFLOOR:OFFICE,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep
