TimeStep,VarDate,Pac,Temperature,Vac
15:10,2015-05-02,4090.43,55.35,210.24
15:15,2015-05-02,4048,56.2,210.15
15:20,2015-05-02,4005.17,58.85,210.22
15:25,2015-05-02,3948.36,60.39,210.3
15:30,2015-05-02,3884.41,61.4,210.17
15:35,2015-05-02,3829.31,62.14,210.16
15:40,2015-05-02,3775.95,62.74,209.92
15:45,2015-05-02,3728.03,63.2,210.04
15:50,2015-05-02,3680.67,63.49,209.96
15:55,2015-05-02,3614.24,63.57,209.82
16:00,2015-05-02,3567.86,63.99,209.75
16:05,2015-05-02,3495.72,64.02,209.65
16:10,2015-05-02,3437.3,63.92,209.74
16:15,2015-05-02,3356.37,63.52,209.7
16:20,2015-05-02,3293.41,63.5,209.56
16:25,2015-05-02,3115.8,63.02,209.69
16:30,2015-05-02,2986.93,62.36,209.66
16:35,2015-05-02,2905.82,61.86,209.61
16:40,2015-05-02,2658.5,60.76,209.5
16:45,2015-05-02,2719.18,60.65,209.56
16:50,2015-05-02,2509.65,59.56,209.64
16:55,2015-05-02,2751.68,59.94,209.64
17:00,2015-05-02,2566.5,59.51,209.5
17:05,2015-05-02,2438.41,58.82,209.5
17:10,2015-05-02,2370.61,58.24,209.54
17:15,2015-05-02,2399.34,57.96,209.56
17:20,2015-05-02,2153.74,57.08,209.48
17:25,2015-05-02,2070.99,56.62,209.38
17:30,2015-05-02,1992.97,55.7,209.45
17:35,2015-05-02,1987.3,55.27,209.3
17:40,2015-05-02,1856.38,54.69,209.33
17:45,2015-05-02,1469.39,53.06,209.35
17:50,2015-05-02,1251.36,51.48,209.25
17:55,2015-05-02,900.47,49.85,209.08
18:00,2015-05-02,585.05,47.97,209.08
18:05,2015-05-02,486.34,46.59,209.23
18:10,2015-05-02,441.86,45.55,209.24
18:15,2015-05-02,373.36,44.48,209.24
18:20,2015-05-02,335.51,43.64,208.99
18:25,2015-05-02,357.68,43.15,209.07
18:30,2015-05-02,367.72,42.65,209.02
18:35,2015-05-02,331.77,42.12,209.05
18:40,2015-05-02,271.03,41.64,208.92
18:45,2015-05-02,204.84,40.99,209.02
18:50,2015-05-02,181.66,40.47,209.18
18:55,2015-05-02,153.65,39.99,209.37
19:00,2015-05-02,131.89,39.58,209.24
19:05,2015-05-02,122.65,39.01,209.21
19:10,2015-05-02,108.32,38.69,209.1
19:15,2015-05-02,120.99,38.3,209.1
19:20,2015-05-02,86.11,38.14,209.07
19:25,2015-05-02,63.35,37.69,209.01
19:30,2015-05-02,48.24,37.38,208.93
19:35,2015-05-02,34.09,37.1,208.94
19:40,2015-05-02,15.82,36.99,208.85
19:45,2015-05-02,3.5,36.33,208.83
19:50,2015-05-02,0,35.8,208.82
19:55,2015-05-02,0,35.43,209.36
20:00,2015-05-02,0,35.19,209.3
20:05,2015-05-02,0,34.94,209.23
06:25,2015-05-03,0,21.16,209.87
06:30,2015-05-03,0,21.19,209.63
