2043,1,E2F1:F1%AHU3,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2046,1,E2F1:F1%AHU3,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2049,1,E2F1:F%%AHU6,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
2052,1,E2F1:F%%AHU6,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2055,1,E2F1:F%%AHU6,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2058,1,E2F4:F4%AHU6,Zone Mean Radiant Temperature [C] !Hourly,ON
2061,1,E2F4:475,Zone Mean Radiant Temperature [C] !Hourly,ON
2064,1,E2F4:F4%AHU4,Zone Mean Radiant Temperature [C] !Hourly,ON
2067,1,E2F4:499,Zone Mean Radiant Temperature [C] !Hourly,ON
2070,1,E2F4:495,Zone Mean Radiant Temperature [C] !Hourly,ON
2073,1,E2F4:493,Zone Mean Radiant Temperature [C] !Hourly,ON
2076,1,E2F4:491,Zone Mean Radiant Temperature [C] !Hourly,ON
2079,1,E2F4:489,Zone Mean Radiant Temperature [C] !Hourly,ON
2082,1,E2F4:485,Zone Mean Radiant Temperature [C] !Hourly,ON
2085,1,E2F4:483,Zone Mean Radiant Temperature [C] !Hourly,ON
2088,1,E2F4:481,Zone Mean Radiant Temperature [C] !Hourly,ON
2091,1,E2F4:479,Zone Mean Radiant Temperature [C] !Hourly,ON
2094,1,E2F4:477,Zone Mean Radiant Temperature [C] !Hourly,ON
2097,1,E2F4:F4%AHU3,Zone Mean Radiant Temperature [C] !Hourly,ON
2100,1,E2F4:F4%AHU5,Zone Mean Radiant Temperature [C] !Hourly,ON
2103,1,E2F3:F3%AHU6,Zone Mean Radiant Temperature [C] !Hourly,ON
2106,1,E2F3:F3%AHU4,Zone Mean Radiant Temperature [C] !Hourly,ON
2109,1,E2F3:F3%AHU5,Zone Mean Radiant Temperature [C] !Hourly,ON
2112,1,E2F3:F3%AHU3,Zone Mean Radiant Temperature [C] !Hourly,ON
2115,1,E2F2:F2%AHU6,Zone Mean Radiant Temperature [C] !Hourly,ON
2118,1,E2F2:F2%AHU4,Zone Mean Radiant Temperature [C] !Hourly,ON
2121,1,E2F2:F2%AHU5,Zone Mean Radiant Temperature [C] !Hourly,ON
